INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:torch.Size([15, 4, 1, 600, 600])
INFO:root:<class 'torch.Tensor'>
INFO:root:torch.Size([5, 4, 1, 600, 600])
INFO:root:torch.Size([10, 4, 1, 600, 600])
INFO:root:(4, 15)
INFO:root:load data:3.255192279815674	disk to mem:2.6655800342559814	normalize:0.24845266342163086	numpy to tensor:0.23523783683776855
INFO:root:load data:3.3910388946533203	disk to mem:2.7959938049316406	normalize:0.27903199195861816	numpy to tensor:0.2239363193511963
INFO:root:load data:4.5745849609375	disk to mem:3.955561876296997	normalize:0.2707235813140869	numpy to tensor:0.22381353378295898
INFO:root:load data:8.771530151367188	disk to mem:8.167279720306396	normalize:0.28418540954589844	numpy to tensor:0.18240809440612793
INFO:root:load data:4.071137189865112	disk to mem:3.5195882320404053	normalize:0.24439215660095215	numpy to tensor:0.19567561149597168
INFO:root:load data:2.292619228363037	disk to mem:1.6883633136749268	normalize:0.2616260051727295	numpy to tensor:0.21883940696716309
INFO:root:load data:5.308078289031982	disk to mem:4.677981615066528	normalize:0.30443310737609863	numpy to tensor:0.21598029136657715
INFO:root:load data:4.484393358230591	disk to mem:3.88985276222229	normalize:0.28815126419067383	numpy to tensor:0.17844772338867188
INFO:root:load data:6.299075603485107	disk to mem:5.688269853591919	normalize:0.2961866855621338	numpy to tensor:0.21619415283203125
INFO:root:load data:6.302867650985718	disk to mem:5.69490385055542	normalize:0.2728917598724365	numpy to tensor:0.2208080291748047
INFO:root:load data:4.231931209564209	disk to mem:3.6444060802459717	normalize:0.25054192543029785	numpy to tensor:0.21390151977539062
INFO:root:load data:3.5382137298583984	disk to mem:2.955949306488037	normalize:0.24409961700439453	numpy to tensor:0.22032642364501953
INFO:root:load data:4.2148895263671875	disk to mem:3.7579774856567383	normalize:0.19740033149719238	numpy to tensor:0.17421269416809082
INFO:root:load data:4.51183819770813	disk to mem:3.86244535446167	normalize:0.2921578884124756	numpy to tensor:0.21085906028747559
INFO:root:load data:4.325556755065918	disk to mem:3.665071487426758	normalize:0.2897810935974121	numpy to tensor:0.2380690574645996
INFO:root:load data:3.9344773292541504	disk to mem:3.3809127807617188	normalize:0.2583484649658203	numpy to tensor:0.20493626594543457
INFO:root:load data:3.446343421936035	disk to mem:2.8139748573303223	normalize:0.3022186756134033	numpy to tensor:0.21700167655944824
INFO:root:load data:4.273184061050415	disk to mem:3.700847625732422	normalize:0.26299476623535156	numpy to tensor:0.2009291648864746
INFO:root:load data:3.792076587677002	disk to mem:3.2710132598876953	normalize:0.22526860237121582	numpy to tensor:0.20502734184265137
INFO:root:load data:3.988715171813965	disk to mem:3.3969998359680176	normalize:0.2659423351287842	numpy to tensor:0.21468877792358398
INFO:root:load data:3.1509549617767334	disk to mem:2.549945831298828	normalize:0.27382397651672363	numpy to tensor:0.21755671501159668
INFO:root:load data:4.5570619106292725	disk to mem:3.958852529525757	normalize:0.2638120651245117	numpy to tensor:0.2249903678894043
INFO:root:load data:5.297802925109863	disk to mem:4.612128496170044	normalize:0.30169010162353516	numpy to tensor:0.22717666625976562
INFO:root:load data:5.228220224380493	disk to mem:4.559553384780884	normalize:0.301250696182251	numpy to tensor:0.24204516410827637
